اسم القاعه,المحافظه,المدينه,الهاتف,فيسبوك,انستجرام,الصور,,photo,اللوكيشن
قاعة روما,الشرقيه,منيا القمح,010 06368998,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D8%A9-%D8%B1%D9%88%D9%85%D8%A7-100064342705361/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\قاعة روما,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20روما,\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20روما,"https://www.google.com/maps/dir//%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D9%81%D8%AF%D8%A7%D9%86+%D8%A8%D8%AC%D9%88%D8%A7%D8%B1+%D9%82%D8%A7%D8%B9%D8%A9+%D8%B1%D9%88%D9%85%D8%A7%D8%8C+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9%D8%8C%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9%E2%80%AD/@30.5068684,31.4122727,12z/data=!3m1!4b1!4m8!4m7!1m0!1m5!1m1!1s0x14f7e7183867c889:0xc9536a972dddbc4d!2m2!1d31.342231!2d30.506881?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D"
قاعة بيلا روز,الشرقيه,منيا القمح,010 00895074,https://www.facebook.com/Bellaminya/,https://www.instagram.com/askargroup/p/C6EzZTCM9cg/?img_index=1,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\قاعة بيلا روز,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20بيلا%20روز,\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20بيلا%20روز,https://www.google.com/maps?sca_esv=99b22d06121518c8&lqi=ClDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZh0iHk-2thbmAgAhaYhAAEAEYABgBGAMYBBgFGAYiUNmC2KfYudin2Kog2KfZgdix2KfYrSDZhdiv2YrZhtipINmF2YbZitinINin2YTZgtmF2K0g2YXYrdin2YHYuNipINin2YTYtNix2YLZitmHkgENd2VkZGluZ192ZW51ZaoBlQEQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIgEAEiHMQrdbxnvQIjoaR75-d6fjjrtB__BD2dbkeaBq8yVBACIlDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZhw&phdesc=hK1NM5D70PI&vet=12ahUKEwjI_7GIwPmIAxUG1wIHHULLAfkQ8UF6BAgEEFM..i&lei=PmACZ8joCYaui-gPwpaHyA8&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KW_DYQDg5fcUMbf7a1XvlXcd&daddr=G9F5%2BC7M%D8%8C+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9
قاعة أرابيلا,الشرقيه,منيا القمح,015 51717894,,,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\قاعة أرابيلا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20أرابيلا,\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20أرابيلا,https://www.google.com/maps?sca_esv=99b22d06121518c8&lqi=ClDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZh0iIpbTA27iAgAhaYhAAEAEYABgBGAMYBBgFGAYiUNmC2KfYudin2Kog2KfZgdix2KfYrSDZhdiv2YrZhtipINmF2YbZitinINin2YTZgtmF2K0g2YXYrdin2YHYuNipINin2YTYtNix2YLZitmHkgENd2VkZGluZ192ZW51ZaoBlQEQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIgEAEiHMQrdbxnvQIjoaR75-d6fjjrtB__BD2dbkeaBq8yVBACIlDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZhw&phdesc=6-p9DBr75XI&vet=12ahUKEwjI_7GIwPmIAxUG1wIHHULLAfkQ8UF6BAgEEFM..i&lei=PmACZ8joCYaui-gPwpaHyA8&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KYESRW5A5_cUMWQ3G2YosfR7&daddr=%D9%85%D9%8A%D8%AA+%D9%8A%D8%B2%D9%8A%D8%AF%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9+7015108
قاعة جمار. Gommar,الشرقيه,منيا القمح,015 51717894,,,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\قاعة جمار. Gommar,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20جمار.%20Gommar,\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعة%20جمار.%20Gommar,https://www.google.com/maps?sca_esv=99b22d06121518c8&lqi=ClDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZh0irzbPQ9LeAgAhaYhAAEAEYABgBGAMYBBgFGAYiUNmC2KfYudin2Kog2KfZgdix2KfYrSDZhdiv2YrZhtipINmF2YbZitinINin2YTZgtmF2K0g2YXYrdin2YHYuNipINin2YTYtNix2YLZitmHkgENd2VkZGluZ192ZW51ZaoBlQEQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIgEAEiHMQrdbxnvQIjoaR75-d6fjjrtB__BD2dbkeaBq8yVBACIlDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZhw&phdesc=quHJv0P6uOw&vet=12ahUKEwjI_7GIwPmIAxUG1wIHHULLAfkQ8UF6BAgEEFM..i&lei=PmACZ8joCYaui-gPwpaHyA8&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KQP0orzJ5fcUMTm6DCIH6u4F&daddr=%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD%D8%8C%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9
"سيتي ستارز -City Stars
",الشرقيه,منيا القمح,011 47670707,https://www.facebook.com/Romamakebartist,,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\سيتي ستارز -City Stars,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\سيتي%20ستارز%20-City%20Stars,\محافظة%20الشرقيه\مدينة%20منية%20القمح\سيتي%20ستارز%20-City%20Stars,"https://www.google.com/search?q=%D9%82%D8%A7%D8%B9%D8%A7%D8%AA+%D8%A7%D9%81%D8%B1%D8%A7%D8%AD+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D9%87&sca_esv=99b22d06121518c8&biw=1366&bih=607&tbm=lcl&sxsrf=ADLYWILxkW2IflVr5KdAiF8hLRkWE2FKUA%3A1728208838494&ei=xl8CZ5DwHd-di-gP4_LWgAc&ved=0ahUKEwiQ66nPv_mIAxXfzgIHHWO5FXAQ4dUDCAk&uact=5&oq=%D9%82%D8%A7%D8%B9%D8%A7%D8%AA+%D8%A7%D9%81%D8%B1%D8%A7%D8%AD+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D9%85%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D9%82%D9%85%D8%AD+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D9%87&gs_lp=Eg1nd3Mtd2l6LWxvY2FsIlDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZhzIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogRIqXVQ2BBY-GlwA3gAkAEBmAGhHKABtjWqARAwLjEyLjEuNS0xLjEuOS0xuAEDyAEA-AEBmAIRoAL0E8ICBBAjGCfCAgQQIRgKmAMAiAYBkgcKMy4xMi4xLjAuMaAH7Eg&sclient=gws-wiz-local#rlfi=hd:;si:1526658844877029521,l,ClDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZh0i4n_P5-rWAgAhaZBAAEAEYABgBGAIYAxgEGAUYBiJQ2YLYp9i52KfYqiDYp9mB2LHYp9itINmF2K_ZitmG2Kkg2YXZhtmK2Kcg2KfZhNmC2YXYrSDZhdit2KfZgdi42Kkg2KfZhNi02LHZgtmK2YeSAQxiYW5xdWV0X2hhbGyqAZUBEAEqGSIV2YLYp9i52KfYqiDYp9mB2LHYp9itKDYyIBABIhzEK3W8Z70CI6Gke-fnen4467Qf_wQ9nW5HmgavMlQQAiJQ2YLYp9i52KfYqiDYp9mB2LHYp9itINmF2K_ZitmG2Kkg2YXZhtmK2Kcg2KfZhNmC2YXYrSDZhdit2KfZgdi42Kkg2KfZhNi02LHZgtmK2Yc,y,K64jMDbPLFs;mv:[[30.5267253,31.3945116],[30.468072199999998,31.2843299]]"
قاعه Diva Garden,الشرقيه,منيا القمح,010 33954383,https://www.facebook.com/p/%D8%AF%D9%8A%DA%A4%D8%A7-%D8%AC%D8%A7%D8%B1%D8%AF%D9%86-100088244478344/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الشرقيه\مدينة منية القمح\قاعه Diva Garden,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعه%20Diva%20Garden,\محافظة%20الشرقيه\مدينة%20منية%20القمح\قاعه%20Diva%20Garden,ClDZgtin2LnYp9iqINin2YHYsdin2K0g2YXYr9mK2YbYqSDZhdmG2YrYpyDYp9mE2YLZhditINmF2K3Yp9mB2LjYqSDYp9mE2LTYsdmC2YrZh0iDt4KA37mAgAhaYhAAEAEYABgBGAMYBBgFGAYiUNmC2KfYudin2Kog2KfZgdix2KfYrSDZhdiv2YrZhtipINmF2YbZitinINin2YTZgtmF2K0g2YXYrdin2YHYuNipINin2YTYtNix2YLZitmHkgEMYmFucXVldF9oYWxsqgGVARABKhkiFdmC2KfYudin2Kog2KfZgdix2KfYrSg2MiAQASIcxCt1vGe9AiOhpHvn53p-OOu0H_8EPZ1uR5oGrzJUEAIiUNmC2KfYudin2Kog2KfZgdix2KfYrSDZhdiv2YrZhtipINmF2YbZitinINin2YTZgtmF2K0g2YXYrdin2YHYuNipINin2YTYtNix2YLZitmH&phdesc=-yENVePT3Ac&vet=12ahUKEwjI_7GIwPmIAxUG1wIHHULLAfkQ8UF6BAgEEFM..i&lei=PmACZ8joCYaui-gPwpaHyA8&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=
قاعة افراح ليالي,الغربيه,المحله الكبرى,010 10883580,https://www.facebook.com/naser.megahed/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\قاعة افراح ليالي,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\قاعة%20افراح%20ليالي,\محافظة%20الغربيه\المحله%20الكبري\قاعة%20افراح%20ليالي,"https://www.google.com/maps/dir//X3PP%2B9F4%D8%8C+%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D9%8A%D8%A9%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6733642%E2%80%AD/@30.9858717,31.1562439,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f7a55a9411da51:0xe97032c52963e8e5!2m2!1d31.0862037!2d30.9858906?entry=ttu&g_ep=EgoyMDI0MDkxNi4wIKXMDSoASAFQAw%3D%3D"
قاعة ليندا,الغربيه,المحله الكبرى,012 01310561,https://www.facebook.com/watch/?v=568210191229991,,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\قاعة ليندا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\قاعة%20ليندا,\محافظة%20الغربيه\المحله%20الكبري\قاعة%20ليندا,"https://www.google.com/maps/dir//W5X7%2B7VF%D8%8C+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6736912%E2%80%AD/@30.9481576,31.2347021,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f7bb06e4abb34d:0xe32ad7fd150f137a!2m2!1d31.1646615!2d30.9481761?entry=ttu&g_ep=EgoyMDI0MDkxNi4wIKXMDSoASAFQAw%3D%3D"
جراند بابليون,الغربيه,المحله الكبرى,+33 1 22 57 93 17,https://www.facebook.com/Grandbabilon/?locale=ar_AR,https://www.instagram.com/grandbabilon/,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\جراند بابليون,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\جراند%20بابليون,\محافظة%20الغربيه\المحله%20الكبري\جراند%20بابليون,https://www.google.com/maps?sca_esv=41194bf1d6b73809&sca_upv=1&lqi=Ci_Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmF2K3ZhNmHINin2YTZg9io2LHZikimoavquJ2AgAhaOxAAEAEYARgCGAMiL9mC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YXYrdmE2Ycg2KfZhNmD2KjYsdmKkgENd2VkZGluZ192ZW51ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNM04wOWhlakYzUlJBQqoBcxABKhkiFdmC2KfYudin2Kog2KfZgdix2KfYrSg2Mh8QASIblmjGFbktazfxB8UBAZC5xxlPFyk4MDw2mFIdMjMQAiIv2YLYp9i52KfYqiDYp9mB2LHYp9itINin2YTZhdit2YTZhyDYp9mE2YPYqNix2Yo&phdesc=hjh31FB2CVM&vet=12ahUKEwjO4rLLyM6IAxXMRPEDHWt9KcYQ8UF6BAgGEFM..i&lei=0d3rZo62GcyJxc8P6_qlsQw&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KYvYPgI2uvcUMbKf8Na7VCEe&daddr=W479%2BVJ3%D8%8C+%D8%B5%D9%81%D8%B7+%D8%AA%D8%B1%D8%A7%D8%A8%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6733010
"قاعة سي لا في
",الغربيه,المحله الكبرى,010 00242457,https://www.facebook.com/p/Cest-la-vie-%D8%B3%D9%8A-%D9%84%D8%A7-%D9%81%D9%8A-100064420163071/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\قاعة سي لا في,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\قاعة%20سي%20لا%20في,\محافظة%20الغربيه\المحله%20الكبري\قاعة%20سي%20لا%20في,"https://www.google.com/maps/dir//W434%2B8FQ%D8%8C+%D8%B5%D9%81%D8%B7+%D8%AA%D8%B1%D8%A7%D8%A8%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6731011%E2%80%AD/@30.9033297,31.1762623,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f7bb9d5e2a0f8b:0x11476467d29b9ab9!2m2!1d31.1062231!2d30.9033484?entry=ttu&g_ep=EgoyMDI0MDkxNi4wIKXMDSoASAFQAw%3D%3D"
فيلا الماسه,الغربيه,المحله الكبرى,010 00309076,https://www.facebook.com/Diamond.village1/videos/571668010941291/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\فيلا الماسه,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\فيلا%20الماسه,\محافظة%20الغربيه\المحله%20الكبري\فيلا%20الماسه,https://www.google.com/maps?sca_esv=41194bf1d6b73809&sca_upv=1&lqi=Ci_Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmF2K3ZhNmHINin2YTZg9io2LHZiki8yPbtiquAgAhaOxAAEAEYARgCGAMiL9mC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YXYrdmE2Ycg2KfZhNmD2KjYsdmKkgENd2VkZGluZ192ZW51ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmFXODNSVEZCUlJBQqoBcxABKhkiFdmC2KfYudin2Kog2KfZgdix2KfYrSg2Mh8QASIblmjGFbktazfxB8UBAZC5xxlPFyk4MDw2mFIdMjMQAiIv2YLYp9i52KfYqiDYp9mB2LHYp9itINin2YTZhdit2YTZhyDYp9mE2YPYqNix2Yo&phdesc=MJILeHMUsqE&vet=12ahUKEwjO4rLLyM6IAxXMRPEDHWt9KcYQ8UF6BAgGEFM..i&lei=0d3rZo62GcyJxc8P6_qlsQw&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KR1NOqMjuvcUMRlSk5j5LM7B&daddr=W434%2BWJ4%D8%8C+%D8%B5%D9%81%D8%B7+%D8%AA%D8%B1%D8%A7%D8%A8%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6731009
ميدو بارك,الغربيه,المحله الكبرى,012 27793745,https://www.facebook.com/photo/?fbid=574605012638469&set=pb.100057176903462.-2207520000&locale=ar_AR,https://www.instagram.com/explore/locations/1027220127/,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\ميدو بارك,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\ميدو%20بارك,\محافظة%20الغربيه\المحله%20الكبري\ميدو%20بارك,https://www.google.com/maps?sca_esv=41194bf1d6b73809&sca_upv=1&lqi=Ci_Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmF2K3ZhNmHINin2YTZg9io2LHZikiuhbvpu4GAgAhaOxAAEAEYARgCGAMiL9mC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YXYrdmE2Ycg2KfZhNmD2KjYsdmKkgENd2VkZGluZ192ZW51ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE5WcG1hMTlCUlJBQqoBcxABKhkiFdmC2KfYudin2Kog2KfZgdix2KfYrSg2Mh8QASIblmjGFbktazfxB8UBAZC5xxlPFyk4MDw2mFIdMjMQAiIv2YLYp9i52KfYqiDYp9mB2LHYp9itINin2YTZhdit2YTZhyDYp9mE2YPYqNix2Yo&phdesc=9SbtsSDQ0cQ&vet=12ahUKEwjO4rLLyM6IAxXMRPEDHWt9KcYQ8UF6BAgGEFM..i&lei=0d3rZo62GcyJxc8P6_qlsQw&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=Kd3fcpgwuvcUMVpim9bpDs74&daddr=W457%2BWH7%D8%8C+%D8%B7%D8%B1%D9%8A%D9%82+%D8%B7%D9%86%D8%B7%D8%A7+-+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%8A%D8%8C+%D8%B5%D9%81%D8%B7+%D8%AA%D8%B1%D8%A7%D8%A8%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6733003
Dimora,الغربيه,المحله الكبرى,012 22403329,https://www.facebook.com/Dimoraforwedding,https://www.instagram.com/dimora.hall/?hl=ar,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\Dimora,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\Dimora,\محافظة%20الغربيه\المحله%20الكبري\Dimora,https://www.google.com/maps?sca_esv=41194bf1d6b73809&sca_upv=1&lqi=Ci_Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmF2K3ZhNmHINin2YTZg9io2LHZikj90aajnK6AgAhaORAAEAEYAhgDIi_Zgtin2LnYp9iqINin2YHYsdin2K0g2KfZhNmF2K3ZhNmHINin2YTZg9io2LHZipIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhlVnAxZW10M1JSQUKqAXMQASoZIhXZgtin2LnYp9iqINin2YHYsdin2K0oNjIfEAEiG5ZoxhW5LWs38QfFAQGQuccZTxcpODA8NphSHTIzEAIiL9mC2KfYudin2Kog2KfZgdix2KfYrSDYp9mE2YXYrdmE2Ycg2KfZhNmD2KjYsdmK&phdesc=rIfERDb-cW4&vet=12ahUKEwjO4rLLyM6IAxXMRPEDHWt9KcYQ8UF6BAgGEFM..i&lei=0d3rZo62GcyJxc8P6_qlsQw&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KVEnhQQ2uvcUMT3VptgwbWPm&daddr=W479%2BPGX%D8%8C+%D8%B7%D8%B1%D9%8A%D9%82+%D8%B7%D9%86%D8%B7%D8%A7+-+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%8A%D8%8C+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89+(%D9%82%D8%B3%D9%85+2)%D8%8C+%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%87+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9+6733010
Melvita,الغربيه,المحله الكبرى,012 80004640,https://www.facebook.com/MelvitaVillage/?locale=ar_AR,https://www.instagram.com/explore/locations/291728627687969/melvita-/,C:\Users\al arab\Desktop\Wedding halls\محافظة الغربيه\المحله الكبري\Melvita,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الغربيه\المحله%20الكبري\Melvita,\محافظة%20الغربيه\المحله%20الكبري\Melvita,"https://www.google.com/maps/dir//X43Q%2BX9P%D8%8C+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+-+%D8%B7%D9%84%D8%AE%D8%A7%D8%8C%D8%8C+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C+%D8%8C+%D8%A7%D9%84%D9%85%D8%AD%D9%84%D8%A9+%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9%E2%80%AD/@30.9549498,31.2084866,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f7bb22b28f9467:0xd1333509acb301d5!2m2!1d31.1384538!2d30.95497?entry=ttu&g_ep=EgoyMDI0MDkxNi4wIKXMDSoASAFQAw%3D%3D"
